district_id,year,week_of_year,week_start,mean_temp,mean_humidity,total_rainfall,source
1,2000,35,2000-08-28,28.22,74.0,99.7,synthetic
1,2000,36,2000-09-04,27.8,73.6,77.7,synthetic
1,2000,37,2000-09-11,27.06,66.9,75.7,synthetic
1,2000,38,2000-09-18,26.98,64.7,69.6,synthetic
1,2000,39,2000-09-25,26.2,66.5,74.2,synthetic
1,2000,40,2000-10-02,23.3,69.9,52.2,synthetic
1,2000,41,2000-10-09,23.02,60.1,34.7,synthetic
1,2000,42,2000-10-16,24.16,63.6,27.3,synthetic
1,2000,43,2000-10-23,23.35,64.1,31.2,synthetic
1,2000,44,2000-10-30,22.64,61.7,26.3,synthetic
1,2000,45,2000-11-06,23.05,54.5,0.0,synthetic
1,2000,46,2000-11-13,21.51,62.4,0.0,synthetic
1,2000,47,2000-11-20,22.86,59.8,10.8,synthetic
1,2000,48,2000-11-27,21.15,55.6,0.0,synthetic
1,2000,49,2000-12-04,22.9,56.2,3.1,synthetic
1,2000,50,2000-12-11,21.4,55.3,7.4,synthetic
1,2000,51,2000-12-18,20.71,59.4,3.4,synthetic
1,2000,52,2000-12-25,21.99,66.2,0.0,synthetic
1,2001,1,2001-01-01,21.65,66.6,3.1,synthetic
1,2001,2,2001-01-08,23.77,70.6,0.6,synthetic
1,2001,3,2001-01-15,21.89,66.7,0.0,synthetic
1,2001,4,2001-01-22,21.72,60.9,0.0,synthetic
1,2001,5,2001-01-29,25.02,71.9,0.0,synthetic
1,2001,6,2001-02-05,23.78,70.8,5.0,synthetic
1,2001,7,2001-02-12,23.67,71.9,20.8,synthetic
1,2001,8,2001-02-19,25.27,75.3,0.0,synthetic
1,2001,9,2001-02-26,26.18,72.7,5.3,synthetic
1,2001,10,2001-03-05,26.27,78.3,0.0,synthetic
1,2001,11,2001-03-12,26.89,72.6,0.0,synthetic
1,2001,12,2001-03-19,27.25,75.6,0.0,synthetic
1,2001,13,2001-03-26,27.22,80.7,0.8,synthetic
1,2001,14,2001-04-02,29.38,84.9,0.0,synthetic
1,2001,15,2001-04-09,28.92,81.5,10.7,synthetic
1,2001,16,2001-04-16,29.9,89.6,1.1,synthetic
1,2001,17,2001-04-23,30.48,83.3,6.3,synthetic
1,2001,18,2001-04-30,31.73,85.3,28.9,synthetic
1,2001,19,2001-05-07,30.27,85.0,31.3,synthetic
1,2001,20,2001-05-14,31.82,88.4,30.6,synthetic
1,2001,21,2001-05-21,32.51,89.7,49.9,synthetic
1,2001,22,2001-05-28,32.13,85.7,47.6,synthetic
1,2001,23,2001-06-04,32.07,85.0,63.0,synthetic
1,2001,24,2001-06-11,33.09,86.8,65.4,synthetic
1,2001,25,2001-06-18,31.28,86.4,79.0,synthetic
1,2001,26,2001-06-25,31.14,89.8,92.3,synthetic
1,2001,27,2001-07-02,30.16,81.3,84.4,synthetic
1,2001,28,2001-07-09,31.12,84.3,103.2,synthetic
1,2001,29,2001-07-16,31.09,77.4,82.7,synthetic
1,2001,30,2001-07-23,29.59,82.5,89.9,synthetic
1,2001,31,2001-07-30,30.02,81.0,101.1,synthetic
1,2001,32,2001-08-06,30.42,74.7,96.4,synthetic
1,2001,33,2001-08-13,29.98,76.9,88.0,synthetic
1,2001,34,2001-08-20,29.18,72.9,87.1,synthetic
1,2001,35,2001-08-27,30.2,71.6,71.3,synthetic
1,2001,36,2001-09-03,27.35,67.8,86.9,synthetic
1,2001,37,2001-09-10,27.4,75.6,78.2,synthetic
1,2001,38,2001-09-17,26.67,62.7,71.9,synthetic
1,2001,39,2001-09-24,24.65,68.2,66.1,synthetic
1,2001,40,2001-10-01,25.87,64.1,42.3,synthetic
1,2001,41,2001-10-08,22.94,59.0,51.4,synthetic
1,2001,42,2001-10-15,24.37,63.6,32.9,synthetic
1,2001,43,2001-10-22,23.51,69.0,32.7,synthetic
1,2001,44,2001-10-29,23.78,59.5,16.3,synthetic
1,2001,45,2001-11-05,23.58,59.1,6.5,synthetic
1,2001,46,2001-11-12,22.82,53.4,0.0,synthetic
1,2001,47,2001-11-19,21.03,57.3,0.0,synthetic
1,2001,48,2001-11-26,20.8,59.9,8.4,synthetic
1,2001,49,2001-12-03,21.97,59.6,5.2,synthetic
1,2001,50,2001-12-10,20.67,60.7,0.0,synthetic
1,2001,51,2001-12-17,22.11,60.3,0.0,synthetic
1,2001,52,2001-12-24,19.88,57.7,0.0,synthetic
1,2002,1,2001-12-31,22.53,59.8,0.0,synthetic
1,2002,2,2002-01-07,22.65,63.8,2.2,synthetic
1,2002,3,2002-01-14,23.21,60.8,0.0,synthetic
1,2002,4,2002-01-21,22.17,61.5,0.8,synthetic
1,2002,5,2002-01-28,23.89,67.5,0.0,synthetic
1,2002,6,2002-02-04,23.2,76.3,14.3,synthetic
1,2002,7,2002-02-11,25.27,73.8,3.5,synthetic
1,2002,8,2002-02-18,25.79,75.4,2.7,synthetic
1,2002,9,2002-02-25,25.39,71.4,13.5,synthetic
1,2002,10,2002-03-04,26.7,80.9,0.1,synthetic
1,2002,11,2002-03-11,27.48,78.7,0.0,synthetic
1,2002,12,2002-03-18,29.26,82.8,0.1,synthetic
1,2002,13,2002-03-25,28.31,78.3,0.0,synthetic
1,2002,14,2002-04-01,29.51,84.1,0.0,synthetic
1,2002,15,2002-04-08,30.54,87.2,0.3,synthetic
1,2002,16,2002-04-15,30.53,86.4,10.3,synthetic
1,2002,17,2002-04-22,29.77,85.2,11.7,synthetic
1,2002,18,2002-04-29,31.42,85.4,14.7,synthetic
1,2002,19,2002-05-06,31.81,88.3,20.2,synthetic
1,2002,20,2002-05-13,31.01,81.5,23.7,synthetic
1,2002,21,2002-05-20,32.1,91.6,26.1,synthetic
1,2002,22,2002-05-27,31.47,86.8,49.8,synthetic
1,2002,23,2002-06-03,33.62,93.2,60.9,synthetic
1,2002,24,2002-06-10,32.6,88.3,96.0,synthetic
1,2002,25,2002-06-17,33.21,85.5,72.9,synthetic
1,2002,26,2002-06-24,32.52,85.8,85.0,synthetic
1,2002,27,2002-07-01,32.62,81.8,75.2,synthetic
1,2002,28,2002-07-08,31.24,86.1,79.6,synthetic
1,2002,29,2002-07-15,31.4,83.2,84.9,synthetic
1,2002,30,2002-07-22,31.0,80.3,93.7,synthetic
1,2002,31,2002-07-29,30.18,71.9,81.4,synthetic
1,2002,32,2002-08-05,29.74,80.9,89.1,synthetic
1,2002,33,2002-08-12,29.5,75.7,105.6,synthetic
1,2002,34,2002-08-19,28.86,71.2,84.3,synthetic
1,2002,35,2002-08-26,27.66,75.7,96.0,synthetic
1,2002,36,2002-09-02,26.0,70.2,75.3,synthetic
1,2002,37,2002-09-09,27.17,68.8,77.5,synthetic
1,2002,38,2002-09-16,27.11,72.9,73.1,synthetic
1,2002,39,2002-09-23,26.22,67.1,70.7,synthetic
1,2002,40,2002-09-30,25.17,56.3,58.9,synthetic
1,2002,41,2002-10-07,23.37,61.7,58.5,synthetic
1,2002,42,2002-10-14,25.04,63.1,30.6,synthetic
1,2002,43,2002-10-21,22.14,61.1,23.4,synthetic
1,2002,44,2002-10-28,22.55,60.8,21.5,synthetic
1,2002,45,2002-11-04,22.05,56.3,13.5,synthetic
1,2002,46,2002-11-11,22.36,62.1,0.0,synthetic
1,2002,47,2002-11-18,21.42,62.6,11.8,synthetic
1,2002,48,2002-11-25,21.54,61.1,6.1,synthetic
1,2002,49,2002-12-02,22.18,60.1,0.0,synthetic
1,2002,50,2002-12-09,21.5,61.8,5.4,synthetic
1,2002,51,2002-12-16,21.86,57.7,11.5,synthetic
1,2002,52,2002-12-23,20.86,59.2,0.4,synthetic
1,2003,1,2002-12-30,22.41,64.2,2.5,synthetic
1,2003,2,2003-01-06,20.52,63.3,0.0,synthetic
1,2003,3,2003-01-13,23.4,69.2,1.6,synthetic
1,2003,4,2003-01-20,22.57,67.1,7.9,synthetic
1,2003,5,2003-01-27,24.02,65.7,7.8,synthetic
1,2003,6,2003-02-03,23.4,67.6,0.0,synthetic
1,2003,7,2003-02-10,24.94,68.1,0.0,synthetic
1,2003,8,2003-02-17,24.1,77.9,1.2,synthetic
1,2003,9,2003-02-24,26.2,74.8,11.6,synthetic
1,2003,10,2003-03-03,25.98,76.7,0.0,synthetic
1,2003,11,2003-03-10,27.1,77.9,0.0,synthetic
1,2003,12,2003-03-17,27.09,80.8,10.6,synthetic
1,2003,13,2003-03-24,29.62,82.3,0.0,synthetic
1,2003,14,2003-03-31,29.19,81.7,0.0,synthetic
1,2003,15,2003-04-07,29.48,82.4,0.1,synthetic
1,2003,16,2003-04-14,29.73,88.9,12.6,synthetic
1,2003,17,2003-04-21,31.76,89.6,14.8,synthetic
1,2003,18,2003-04-28,30.34,89.0,8.9,synthetic
1,2003,19,2003-05-05,32.29,91.9,27.2,synthetic
1,2003,20,2003-05-12,32.02,88.1,47.7,synthetic
1,2003,21,2003-05-19,31.41,89.3,47.5,synthetic
1,2003,22,2003-05-26,32.23,87.1,70.0,synthetic
1,2003,23,2003-06-02,30.8,85.0,61.5,synthetic
1,2003,24,2003-06-09,32.37,91.1,71.1,synthetic
1,2003,25,2003-06-16,32.44,91.8,58.3,synthetic
1,2003,26,2003-06-23,32.31,87.9,86.1,synthetic
1,2003,27,2003-06-30,32.91,85.3,94.5,synthetic
1,2003,28,2003-07-07,32.35,84.0,90.4,synthetic
1,2003,29,2003-07-14,31.23,77.8,85.0,synthetic
1,2003,30,2003-07-21,32.45,79.7,91.6,synthetic
1,2003,31,2003-07-28,30.43,76.4,94.3,synthetic
1,2003,32,2003-08-04,30.33,73.8,101.3,synthetic
1,2003,33,2003-08-11,29.16,77.2,97.8,synthetic
1,2003,34,2003-08-18,29.4,80.3,106.0,synthetic
1,2003,35,2003-08-25,29.35,69.6,76.2,synthetic
1,2003,36,2003-09-01,27.42,69.2,76.9,synthetic
1,2003,37,2003-09-08,28.67,70.4,84.0,synthetic
1,2003,38,2003-09-15,25.61,60.0,59.6,synthetic
1,2003,39,2003-09-22,24.57,70.4,63.2,synthetic
1,2003,40,2003-09-29,25.32,67.3,51.2,synthetic
1,2003,41,2003-10-06,23.86,60.5,38.0,synthetic
1,2003,42,2003-10-13,23.81,63.7,32.3,synthetic
1,2003,43,2003-10-20,23.73,66.5,39.6,synthetic
1,2003,44,2003-10-27,22.35,64.2,20.3,synthetic
1,2003,45,2003-11-03,23.6,58.1,12.3,synthetic
1,2003,46,2003-11-10,22.68,60.1,13.9,synthetic
1,2003,47,2003-11-17,21.88,62.4,0.0,synthetic
1,2003,48,2003-11-24,20.95,62.0,5.2,synthetic
1,2003,49,2003-12-01,22.68,59.2,3.0,synthetic
1,2003,50,2003-12-08,21.02,65.6,2.9,synthetic
1,2003,51,2003-12-15,19.83,55.4,6.4,synthetic
1,2003,52,2003-12-22,20.64,62.1,16.0,synthetic
1,2004,1,2003-12-29,21.57,62.0,0.0,synthetic
1,2004,2,2004-01-05,20.95,62.4,0.0,synthetic
1,2004,3,2004-01-12,20.9,67.5,6.0,synthetic
1,2004,4,2004-01-19,22.19,70.8,0.0,synthetic
1,2004,5,2004-01-26,24.12,66.6,3.2,synthetic
1,2004,6,2004-02-02,23.85,71.3,0.0,synthetic
1,2004,7,2004-02-09,24.14,71.8,0.0,synthetic
1,2004,8,2004-02-16,25.43,68.8,0.0,synthetic
1,2004,9,2004-02-23,24.98,77.9,2.2,synthetic
1,2004,10,2004-03-01,26.87,78.9,21.7,synthetic
1,2004,11,2004-03-08,27.5,79.8,0.0,synthetic
1,2004,12,2004-03-15,27.73,79.3,4.5,synthetic
1,2004,13,2004-03-22,29.05,87.3,3.7,synthetic
1,2004,14,2004-03-29,28.77,82.2,0.0,synthetic
1,2004,15,2004-04-05,30.39,83.0,3.0,synthetic
1,2004,16,2004-04-12,29.04,87.7,3.2,synthetic
1,2004,17,2004-04-19,30.91,87.0,21.7,synthetic
1,2004,18,2004-04-26,30.97,86.4,5.7,synthetic
1,2004,19,2004-05-03,30.75,88.5,22.0,synthetic
1,2004,20,2004-05-10,30.45,93.4,43.5,synthetic
1,2004,21,2004-05-17,31.07,91.5,44.9,synthetic
1,2004,22,2004-05-24,31.91,90.0,57.9,synthetic
1,2004,23,2004-05-31,32.89,86.4,81.4,synthetic
1,2004,24,2004-06-07,33.59,84.7,88.4,synthetic
1,2004,25,2004-06-14,32.46,86.0,75.2,synthetic
1,2004,26,2004-06-21,32.44,83.0,88.9,synthetic
1,2004,27,2004-06-28,32.68,84.0,79.4,synthetic
1,2004,28,2004-07-05,31.98,83.4,86.8,synthetic
1,2004,29,2004-07-12,31.72,78.2,104.4,synthetic
1,2004,30,2004-07-19,32.87,85.5,92.0,synthetic
1,2004,31,2004-07-26,30.93,79.1,91.8,synthetic
1,2004,32,2004-08-02,31.83,78.1,108.8,synthetic
1,2004,33,2004-08-09,29.78,79.1,93.2,synthetic
1,2004,34,2004-08-16,28.89,77.8,90.2,synthetic
1,2004,35,2004-08-23,27.85,77.9,90.4,synthetic
1,2004,36,2004-08-30,28.21,67.0,84.9,synthetic
1,2004,37,2004-09-06,26.82,67.6,68.3,synthetic
1,2004,38,2004-09-13,26.44,64.5,76.3,synthetic
1,2004,39,2004-09-20,25.03,70.4,66.2,synthetic
1,2004,40,2004-09-27,23.21,64.9,71.8,synthetic
1,2004,41,2004-10-04,24.74,66.5,31.5,synthetic
1,2004,42,2004-10-11,23.17,66.7,36.1,synthetic
1,2004,43,2004-10-18,22.89,65.1,38.9,synthetic
1,2004,44,2004-10-25,23.27,62.7,22.2,synthetic
1,2004,45,2004-11-01,23.99,57.6,15.9,synthetic
1,2004,46,2004-11-08,22.25,59.9,10.9,synthetic
1,2004,47,2004-11-15,22.12,55.3,0.0,synthetic
1,2004,48,2004-11-22,21.04,62.4,6.5,synthetic
1,2004,49,2004-11-29,21.64,57.9,0.0,synthetic
1,2004,50,2004-12-06,20.57,61.2,5.8,synthetic
1,2004,51,2004-12-13,21.39,62.4,0.0,synthetic
1,2004,52,2004-12-20,21.72,65.3,0.0,synthetic
1,2004,53,2004-12-27,21.79,64.9,0.0,synthetic
1,2005,1,2005-01-03,20.04,66.0,0.0,synthetic
1,2005,2,2005-01-10,21.08,63.9,0.0,synthetic
1,2005,3,2005-01-17,23.83,62.5,0.0,synthetic
1,2005,4,2005-01-24,21.85,66.1,10.9,synthetic
1,2005,5,2005-01-31,23.3,67.5,2.3,synthetic
1,2005,6,2005-02-07,24.07,68.2,4.3,synthetic
1,2005,7,2005-02-14,24.85,69.6,4.6,synthetic
1,2005,8,2005-02-21,26.14,74.1,9.1,synthetic
1,2005,9,2005-02-28,26.14,78.5,0.0,synthetic
1,2005,10,2005-03-07,26.48,77.7,8.7,synthetic
1,2005,11,2005-03-14,27.17,77.9,0.0,synthetic
1,2005,12,2005-03-21,27.45,82.0,0.0,synthetic
1,2005,13,2005-03-28,29.41,81.0,0.0,synthetic
1,2005,14,2005-04-04,28.91,78.2,3.1,synthetic
1,2005,15,2005-04-11,28.82,83.9,14.4,synthetic
1,2005,16,2005-04-18,30.48,83.2,0.0,synthetic
1,2005,17,2005-04-25,29.47,89.1,12.8,synthetic
1,2005,18,2005-05-02,30.02,83.8,15.4,synthetic
1,2005,19,2005-05-09,32.13,85.9,31.3,synthetic
1,2005,20,2005-05-16,31.51,83.1,27.6,synthetic
1,2005,21,2005-05-23,31.2,89.2,43.8,synthetic
1,2005,22,2005-05-30,32.54,84.6,51.9,synthetic
1,2005,23,2005-06-06,32.67,93.4,59.9,synthetic
1,2005,24,2005-06-13,32.37,85.5,52.4,synthetic
1,2005,25,2005-06-20,31.63,87.0,72.2,synthetic
1,2005,26,2005-06-27,31.23,88.9,71.1,synthetic
1,2005,27,2005-07-04,32.99,85.1,79.3,synthetic
1,2005,28,2005-07-11,31.82,83.4,90.1,synthetic
1,2005,29,2005-07-18,31.02,85.1,82.0,synthetic
1,2005,30,2005-07-25,31.1,79.8,106.3,synthetic
1,2005,31,2005-08-01,30.06,80.3,91.1,synthetic
1,2005,32,2005-08-08,29.5,75.8,90.0,synthetic
1,2005,33,2005-08-15,30.78,83.0,84.7,synthetic
1,2005,34,2005-08-22,28.18,72.6,81.9,synthetic
1,2005,35,2005-08-29,27.19,75.3,79.4,synthetic
1,2005,36,2005-09-05,27.56,67.2,95.9,synthetic
1,2005,37,2005-09-12,28.01,71.9,77.6,synthetic
1,2005,38,2005-09-19,24.9,68.8,78.7,synthetic
1,2005,39,2005-09-26,25.75,65.5,48.8,synthetic
1,2005,40,2005-10-03,24.78,63.4,52.3,synthetic
1,2005,41,2005-10-10,24.06,62.6,48.2,synthetic
1,2005,42,2005-10-17,23.74,62.9,46.3,synthetic
1,2005,43,2005-10-24,23.37,60.4,34.7,synthetic
1,2005,44,2005-10-31,23.39,64.7,24.9,synthetic
1,2005,45,2005-11-07,21.68,59.8,15.9,synthetic
1,2005,46,2005-11-14,22.39,61.9,0.7,synthetic
1,2005,47,2005-11-21,22.99,57.3,0.0,synthetic
1,2005,48,2005-11-28,20.43,56.1,0.0,synthetic
1,2005,49,2005-12-05,21.22,62.3,0.0,synthetic
1,2005,50,2005-12-12,22.04,62.2,0.0,synthetic
1,2005,51,2005-12-19,21.88,57.2,5.2,synthetic
1,2005,52,2005-12-26,22.52,63.1,1.3,synthetic
1,2006,1,2006-01-02,21.62,63.9,7.0,synthetic
1,2006,2,2006-01-09,21.25,61.2,0.0,synthetic
1,2006,3,2006-01-16,23.71,60.8,5.8,synthetic
1,2006,4,2006-01-23,23.07,61.1,2.1,synthetic
1,2006,5,2006-01-30,22.23,70.2,8.2,synthetic
1,2006,6,2006-02-06,22.28,69.4,0.0,synthetic
1,2006,7,2006-02-13,24.23,68.6,0.0,synthetic
1,2006,8,2006-02-20,25.1,75.4,0.0,synthetic
1,2006,9,2006-02-27,25.46,76.5,0.0,synthetic
1,2006,10,2006-03-06,24.16,80.5,0.0,synthetic
1,2006,11,2006-03-13,26.91,74.1,0.0,synthetic
1,2006,12,2006-03-20,28.72,79.9,0.0,synthetic
1,2006,13,2006-03-27,27.1,80.4,0.0,synthetic
1,2006,14,2006-04-03,30.38,82.8,0.0,synthetic
1,2006,15,2006-04-10,28.68,84.4,0.0,synthetic
1,2006,16,2006-04-17,29.53,82.6,16.0,synthetic
1,2006,17,2006-04-24,29.34,84.2,11.7,synthetic
1,2006,18,2006-05-01,30.26,86.1,15.1,synthetic
1,2006,19,2006-05-08,31.03,88.9,31.3,synthetic
1,2006,20,2006-05-15,32.58,87.1,36.2,synthetic
1,2006,21,2006-05-22,31.12,90.3,32.4,synthetic
1,2006,22,2006-05-29,32.77,88.5,51.4,synthetic
1,2006,23,2006-06-05,31.85,86.8,65.2,synthetic
1,2006,24,2006-06-12,31.41,88.4,75.0,synthetic
1,2006,25,2006-06-19,32.51,87.8,79.3,synthetic
1,2006,26,2006-06-26,34.07,84.4,76.9,synthetic
1,2006,27,2006-07-03,30.96,88.2,86.0,synthetic
1,2006,28,2006-07-10,32.29,79.8,104.6,synthetic
1,2006,29,2006-07-17,31.56,82.2,87.6,synthetic
1,2006,30,2006-07-24,31.02,78.5,95.5,synthetic
1,2006,31,2006-07-31,29.35,81.1,74.2,synthetic
1,2006,32,2006-08-07,31.04,76.3,99.8,synthetic
1,2006,33,2006-08-14,30.0,74.8,100.9,synthetic
1,2006,34,2006-08-21,30.33,72.2,79.3,synthetic
1,2006,35,2006-08-28,28.77,69.1,96.1,synthetic
1,2006,36,2006-09-04,27.55,72.9,78.3,synthetic
1,2006,37,2006-09-11,28.22,70.3,79.9,synthetic
1,2006,38,2006-09-18,26.6,67.3,67.9,synthetic
1,2006,39,2006-09-25,25.32,66.6,53.3,synthetic
1,2006,40,2006-10-02,23.18,62.3,59.1,synthetic
1,2006,41,2006-10-09,24.43,66.9,53.7,synthetic
1,2006,42,2006-10-16,23.24,64.2,40.2,synthetic
1,2006,43,2006-10-23,23.93,59.4,14.9,synthetic
1,2006,44,2006-10-30,22.55,59.5,31.0,synthetic
1,2006,45,2006-11-06,22.78,63.3,11.5,synthetic
1,2006,46,2006-11-13,22.11,60.5,1.7,synthetic
1,2006,47,2006-11-20,21.84,57.6,0.5,synthetic
1,2006,48,2006-11-27,23.39,58.5,3.4,synthetic
1,2006,49,2006-12-04,23.39,59.2,2.6,synthetic
1,2006,50,2006-12-11,21.7,63.3,2.6,synthetic
1,2006,51,2006-12-18,21.3,69.5,3.2,synthetic
1,2006,52,2006-12-25,20.95,65.0,0.0,synthetic
1,2007,1,2007-01-01,22.5,60.7,0.0,synthetic
1,2007,2,2007-01-08,22.47,61.9,5.4,synthetic
1,2007,3,2007-01-15,21.81,69.6,5.1,synthetic
1,2007,4,2007-01-22,25.24,62.0,0.0,synthetic
1,2007,5,2007-01-29,22.61,67.7,0.0,synthetic
1,2007,6,2007-02-05,24.39,71.7,4.8,synthetic
1,2007,7,2007-02-12,24.77,66.3,0.0,synthetic
1,2007,8,2007-02-19,25.1,72.1,16.1,synthetic
1,2007,9,2007-02-26,25.1,72.2,0.3,synthetic
1,2007,10,2007-03-05,26.35,76.9,0.0,synthetic
1,2007,11,2007-03-12,27.02,78.8,4.8,synthetic
1,2007,12,2007-03-19,28.31,78.8,6.3,synthetic
1,2007,13,2007-03-26,28.48,81.6,0.0,synthetic
1,2007,14,2007-04-02,29.17,80.6,0.7,synthetic
1,2007,15,2007-04-09,29.88,84.6,4.6,synthetic
1,2007,16,2007-04-16,30.64,82.0,0.0,synthetic
1,2007,17,2007-04-23,29.93,86.1,9.2,synthetic
1,2007,18,2007-04-30,32.2,84.5,8.6,synthetic
1,2007,19,2007-05-07,31.12,82.7,23.4,synthetic
1,2007,20,2007-05-14,31.11,87.6,44.0,synthetic
1,2007,21,2007-05-21,31.25,89.0,49.5,synthetic
1,2007,22,2007-05-28,30.47,85.6,56.9,synthetic
1,2007,23,2007-06-04,33.11,89.5,61.9,synthetic
1,2007,24,2007-06-11,32.83,84.0,75.6,synthetic
1,2007,25,2007-06-18,29.99,82.8,91.9,synthetic
1,2007,26,2007-06-25,33.29,85.8,91.1,synthetic
1,2007,27,2007-07-02,32.37,86.9,105.0,synthetic
1,2007,28,2007-07-09,32.15,87.1,100.0,synthetic
1,2007,29,2007-07-16,32.18,90.1,86.9,synthetic
1,2007,30,2007-07-23,30.62,78.2,72.4,synthetic
1,2007,31,2007-07-30,30.13,85.2,95.1,synthetic
1,2007,32,2007-08-06,31.09,78.0,98.4,synthetic
1,2007,33,2007-08-13,29.2,77.4,103.0,synthetic
1,2007,34,2007-08-20,26.89,76.0,72.6,synthetic
1,2007,35,2007-08-27,26.92,73.6,86.5,synthetic
1,2007,36,2007-09-03,29.72,73.6,90.7,synthetic
1,2007,37,2007-09-10,26.69,63.3,75.3,synthetic
1,2007,38,2007-09-17,26.78,69.9,75.6,synthetic
1,2007,39,2007-09-24,26.5,71.1,76.1,synthetic
1,2007,40,2007-10-01,26.08,68.4,52.7,synthetic
1,2007,41,2007-10-08,23.42,63.1,46.6,synthetic
1,2007,42,2007-10-15,21.79,64.3,33.0,synthetic
1,2007,43,2007-10-22,23.02,64.2,17.1,synthetic
1,2007,44,2007-10-29,22.29,56.3,25.1,synthetic
1,2007,45,2007-11-05,20.82,62.6,0.0,synthetic
1,2007,46,2007-11-12,21.13,58.8,0.0,synthetic
1,2007,47,2007-11-19,21.45,62.9,2.2,synthetic
1,2007,48,2007-11-26,22.08,57.5,0.0,synthetic
1,2007,49,2007-12-03,19.63,58.7,0.0,synthetic
1,2007,50,2007-12-10,20.35,64.1,10.9,synthetic
1,2007,51,2007-12-17,22.05,54.4,0.0,synthetic
1,2007,52,2007-12-24,21.35,62.5,9.1,synthetic
1,2008,1,2007-12-31,21.9,68.7,0.0,synthetic
1,2008,2,2008-01-07,22.29,63.6,0.0,synthetic
1,2008,3,2008-01-14,21.78,66.5,8.0,synthetic
1,2008,4,2008-01-21,23.45,64.2,5.9,synthetic
1,2008,5,2008-01-28,23.17,67.2,6.2,synthetic
1,2008,6,2008-02-04,23.69,71.8,0.0,synthetic
1,2008,7,2008-02-11,25.38,70.0,0.0,synthetic
1,2008,8,2008-02-18,24.15,73.1,0.0,synthetic
1,2008,9,2008-02-25,25.49,79.2,5.3,synthetic
1,2008,10,2008-03-03,26.15,77.9,4.7,synthetic
1,2008,11,2008-03-10,25.53,79.2,6.1,synthetic
1,2008,12,2008-03-17,27.12,80.7,0.0,synthetic
1,2008,13,2008-03-24,28.56,84.1,11.0,synthetic
1,2008,14,2008-03-31,29.1,85.4,0.0,synthetic
1,2008,15,2008-04-07,30.57,90.8,0.0,synthetic
1,2008,16,2008-04-14,30.45,88.3,3.9,synthetic
1,2008,17,2008-04-21,31.98,87.2,17.2,synthetic
1,2008,18,2008-04-28,32.59,87.6,26.2,synthetic
1,2008,19,2008-05-05,31.62,91.8,33.8,synthetic
1,2008,20,2008-05-12,33.37,87.2,24.2,synthetic
1,2008,21,2008-05-19,32.14,86.9,56.2,synthetic
1,2008,22,2008-05-26,32.81,88.7,57.0,synthetic
1,2008,23,2008-06-02,31.78,85.1,50.6,synthetic
1,2008,24,2008-06-09,32.88,88.5,68.0,synthetic
1,2008,25,2008-06-16,32.05,85.7,93.0,synthetic
1,2008,26,2008-06-23,30.96,85.5,78.8,synthetic
1,2008,27,2008-06-30,31.78,78.5,93.5,synthetic
1,2008,28,2008-07-07,32.86,88.7,99.4,synthetic
1,2008,29,2008-07-14,31.79,76.9,96.7,synthetic
1,2008,30,2008-07-21,32.19,81.5,93.9,synthetic
1,2008,31,2008-07-28,29.75,83.2,106.0,synthetic
1,2008,32,2008-08-04,29.92,78.8,98.2,synthetic
