id,name,type,district_id,district,lat,lon,beds,dengue_beds,phone,email,dist_from_center_km
41,Comilla Upazila Health Complex 1,Upazila Health Complex,11,Comilla,23.29245,91.17168,49,12,+8801892246461,contact.comilla41@hospital.gov.bd,22.97
42,Comilla Upazila Health Complex 2,Upazila Health Complex,11,Comilla,23.56169,91.02243,40,10,+8801856807836,contact.comilla42@hospital.gov.bd,12.89
43,Comilla Upazila Health Complex 3,Upazila Health Complex,11,Comilla,23.40658,90.9536,48,12,+8801881221326,contact.comilla43@hospital.gov.bd,8.13
44,Cox's Bazar District Sadar Hospital,District Hospital,12,Cox's Bazar,21.52732,92.04923,147,36,+8801825145633,contact.cox's44@hospital.gov.bd,2.2
45,Cox's Bazar Upazila Health Complex 1,Upazila Health Complex,12,Cox's Bazar,21.73031,91.98936,49,12,+8801882856151,contact.cox's45@hospital.gov.bd,23.59
46,Cox's Bazar Upazila Health Complex 2,Upazila Health Complex,12,Cox's Bazar,21.5723,92.23878,36,9,+8801825635215,contact.cox's46@hospital.gov.bd,18.04
47,Cox's Bazar Upazila Health Complex 3,Upazila Health Complex,12,Cox's Bazar,21.5068,91.99406,37,9,+8801821965214,contact.cox's47@hospital.gov.bd,8.32
48,Dhaka District Sadar Hospital,District Hospital,13,Dhaka,23.831,90.20105,250,62,+8801875155678,contact.dhaka48@hospital.gov.bd,1.15
49,Dhaka Medical College Hospital,Medical College Hospital,13,Dhaka,23.81375,90.20804,877,219,+8801872833698,contact.dhaka49@hospital.gov.bd,1.85
50,Dhaka Upazila Health Complex 1,Upazila Health Complex,13,Dhaka,23.684,90.37259,35,8,+8801891922018,contact.dhaka50@hospital.gov.bd,23.01
51,Dhaka Upazila Health Complex 2,Upazila Health Complex,13,Dhaka,23.86493,90.20828,42,10,+8801889570973,contact.dhaka51@hospital.gov.bd,3.91
52,Dinajpur District Sadar Hospital,District Hospital,14,Dinajpur,25.58011,88.84238,161,40,+8801812736046,contact.dinajpur52@hospital.gov.bd,0.25
53,Dinajpur Upazila Health Complex 1,Upazila Health Complex,14,Dinajpur,25.66404,88.88796,36,9,+8801832319586,contact.dinajpur53@hospital.gov.bd,10.18
54,Dinajpur Upazila Health Complex 2,Upazila Health Complex,14,Dinajpur,25.41654,88.95599,31,8,+8801813203346,contact.dinajpur54@hospital.gov.bd,21.7
55,Dinajpur Upazila Health Complex 3,Upazila Health Complex,14,Dinajpur,25.56549,88.90708,34,8,+8801870613063,contact.dinajpur55@hospital.gov.bd,6.79
56,Faridpur District Sadar Hospital,District Hospital,15,Faridpur,23.44919,89.82439,170,42,+8801831272127,contact.faridpur56@hospital.gov.bd,2.44
57,Faridpur Upazila Health Complex 1,Upazila Health Complex,15,Faridpur,23.55943,89.86094,41,10,+8801831821497,contact.faridpur57@hospital.gov.bd,12.99
58,Faridpur Upazila Health Complex 2,Upazila Health Complex,15,Faridpur,23.6815,89.9798,43,10,+8801811145638,contact.faridpur58@hospital.gov.bd,30.96
59,Faridpur Upazila Health Complex 3,Upazila Health Complex,15,Faridpur,23.25338,89.8997,46,11,+8801823201445,contact.faridpur59@hospital.gov.bd,24.65
60,Feni District Sadar Hospital,District Hospital,16,Feni,22.94964,91.40084,122,30,+8801837374488,contact.feni60@hospital.gov.bd,3.54
61,Feni Upazila Health Complex 1,Upazila Health Complex,16,Feni,22.95179,91.40157,33,8,+8801821548368,contact.feni61@hospital.gov.bd,3.31
62,Feni Upazila Health Complex 2,Upazila Health Complex,16,Feni,22.79967,91.37695,46,11,+8801827336843,contact.feni62@hospital.gov.bd,20.3
63,Feni Upazila Health Complex 3,Upazila Health Complex,16,Feni,22.78407,91.45763,36,9,+8801864146094,contact.feni63@hospital.gov.bd,22.79
64,Gaibandha District Sadar Hospital,District Hospital,17,Gaibandha,25.30492,89.43177,147,36,+8801837880545,contact.gaibandha64@hospital.gov.bd,1.86
65,Gaibandha Upazila Health Complex 1,Upazila Health Complex,17,Gaibandha,25.33824,89.3528,46,11,+8801840124032,contact.gaibandha65@hospital.gov.bd,9.8
66,Gaibandha Upazila Health Complex 2,Upazila Health Complex,17,Gaibandha,25.35556,89.68978,44,11,+8801824607338,contact.gaibandha66@hospital.gov.bd,24.84
67,Gaibandha Upazila Health Complex 3,Upazila Health Complex,17,Gaibandha,25.42134,89.43602,46,11,+8801824327496,contact.gaibandha67@hospital.gov.bd,11.9
68,Gazipur District Sadar Hospital,District Hospital,18,Gazipur,24.07955,90.40376,250,62,+8801885220348,contact.gazipur68@hospital.gov.bd,1.25
69,Gazipur Medical College Hospital,Medical College Hospital,18,Gazipur,24.05968,90.43964,940,235,+8801856439168,contact.gazipur69@hospital.gov.bd,3.65
70,Gazipur Upazila Health Complex 1,Upazila Health Complex,18,Gazipur,23.80435,90.32195,49,12,+8801836293551,contact.gazipur70@hospital.gov.bd,30.55
71,Gazipur Upazila Health Complex 2,Upazila Health Complex,18,Gazipur,23.67823,90.34139,43,10,+8801862173378,contact.gazipur71@hospital.gov.bd,43.86
72,Gopalganj District Sadar Hospital,District Hospital,19,Gopalganj,23.16387,89.91788,125,31,+8801836913589,contact.gopalganj72@hospital.gov.bd,1.9
73,Gopalganj Upazila Health Complex 1,Upazila Health Complex,19,Gopalganj,23.14049,89.92013,45,11,+8801821676500,contact.gopalganj73@hospital.gov.bd,0.85
74,Gopalganj Upazila Health Complex 2,Upazila Health Complex,19,Gopalganj,23.21322,89.9414,42,10,+8801817857693,contact.gopalganj74@hospital.gov.bd,7.83
75,Gopalganj Upazila Health Complex 3,Upazila Health Complex,19,Gopalganj,23.20824,89.83341,47,11,+8801837869565,contact.gopalganj75@hospital.gov.bd,10.81
76,Habiganj District Sadar Hospital,District Hospital,20,Habiganj,24.34292,91.40151,114,28,+8801888507988,contact.habiganj76@hospital.gov.bd,2.01
77,Habiganj Upazila Health Complex 1,Upazila Health Complex,20,Habiganj,24.51828,91.36575,39,9,+8801818580447,contact.habiganj77@hospital.gov.bd,20.28
78,Habiganj Upazila Health Complex 2,Upazila Health Complex,20,Habiganj,24.38847,91.10775,34,8,+8801883751744,contact.habiganj78@hospital.gov.bd,32.17
79,Jamalpur District Sadar Hospital,District Hospital,21,Jamalpur,24.91773,89.89268,104,26,+8801877774583,contact.jamalpur79@hospital.gov.bd,1.84
80,Jamalpur Upazila Health Complex 1,Upazila Health Complex,21,Jamalpur,25.07645,89.93685,40,10,+8801857602799,contact.jamalpur80@hospital.gov.bd,16.36
81,Jamalpur Upazila Health Complex 2,Upazila Health Complex,21,Jamalpur,25.11736,89.83009,48,12,+8801821505597,contact.jamalpur81@hospital.gov.bd,21.48
82,Jessore District Sadar Hospital,District Hospital,22,Jessore,23.12972,89.15366,148,37,+8801898179197,contact.jessore82@hospital.gov.bd,2.14
83,Jessore Upazila Health Complex 1,Upazila Health Complex,22,Jessore,23.12848,89.16577,44,11,+8801879277989,contact.jessore83@hospital.gov.bd,3.03
84,Jessore Upazila Health Complex 2,Upazila Health Complex,22,Jessore,23.09083,89.14643,38,9,+8801826390206,contact.jessore84@hospital.gov.bd,2.8
85,Jhalokati District Sadar Hospital,District Hospital,23,Jhalokati,22.56123,90.16224,154,38,+8801843408047,contact.jhalokati85@hospital.gov.bd,1.37
86,Jhalokati Upazila Health Complex 1,Upazila Health Complex,23,Jhalokati,22.63072,90.17987,39,9,+8801885972818,contact.jhalokati86@hospital.gov.bd,6.81
87,Jhalokati Upazila Health Complex 2,Upazila Health Complex,23,Jhalokati,22.43683,90.16374,33,8,+8801858128729,contact.jhalokati87@hospital.gov.bd,14.82
88,Jhenaidah District Sadar Hospital,District Hospital,24,Jhenaidah,23.43997,89.02893,162,40,+8801844933207,contact.jhenaidah88@hospital.gov.bd,0.41
89,Jhenaidah Upazila Health Complex 1,Upazila Health Complex,24,Jhenaidah,23.41504,88.92476,48,12,+8801898920969,contact.jhenaidah89@hospital.gov.bd,10.92
90,Jhenaidah Upazila Health Complex 2,Upazila Health Complex,24,Jhenaidah,23.35082,89.09654,37,9,+8801883710783,contact.jhenaidah90@hospital.gov.bd,12.48
91,Joypurhat District Sadar Hospital,District Hospital,25,Joypurhat,25.06996,89.08248,174,43,+8801825934134,contact.joypurhat91@hospital.gov.bd,1.04
92,Joypurhat Upazila Health Complex 1,Upazila Health Complex,25,Joypurhat,24.95975,89.13492,33,8,+8801876776272,contact.joypurhat92@hospital.gov.bd,14.38
93,Joypurhat Upazila Health Complex 2,Upazila Health Complex,25,Joypurhat,25.04801,89.05526,34,8,+8801829332915,contact.joypurhat93@hospital.gov.bd,4.23
94,Khagrachhari District Sadar Hospital,District Hospital,26,Khagrachhari,23.18312,91.89311,135,33,+8801837323009,contact.khagrachhari94@hospital.gov.bd,2.69
95,Khagrachhari Upazila Health Complex 1,Upazila Health Complex,26,Khagrachhari,23.32948,92.05683,31,8,+8801850361146,contact.khagrachhari95@hospital.gov.bd,23.61
96,Khagrachhari Upazila Health Complex 2,Upazila Health Complex,26,Khagrachhari,23.26613,92.10818,33,8,+8801889155770,contact.khagrachhari96@hospital.gov.bd,25.05
97,Khulna District Sadar Hospital,District Hospital,27,Khulna,22.2542,89.43034,250,62,+8801884210820,contact.khulna97@hospital.gov.bd,1.09
98,Khulna Medical College Hospital,Medical College Hospital,27,Khulna,22.2928,89.40145,697,174,+8801864535818,contact.khulna98@hospital.gov.bd,4.32
99,Khulna Upazila Health Complex 1,Upazila Health Complex,27,Khulna,22.20351,89.46478,35,8,+8801886339278,contact.khulna99@hospital.gov.bd,7.63
100,Khulna Upazila Health Complex 2,Upazila Health Complex,27,Khulna,22.28974,89.46532,40,10,+8801883564544,contact.khulna100@hospital.gov.bd,4.65
101,Khulna Upazila Health Complex 3,Upazila Health Complex,27,Khulna,22.25919,89.4545,33,8,+8801898456043,contact.khulna101@hospital.gov.bd,2.61
102,Kishoreganj District Sadar Hospital,District Hospital,28,Kishoreganj,24.42902,90.91104,170,42,+8801825589644,contact.kishoreganj102@hospital.gov.bd,2.56
103,Kishoreganj Upazila Health Complex 1,Upazila Health Complex,28,Kishoreganj,24.19458,90.76725,34,8,+8801897710324,contact.kishoreganj103@hospital.gov.bd,31.12
104,Kishoreganj Upazila Health Complex 2,Upazila Health Complex,28,Kishoreganj,24.51293,90.91834,47,11,+8801896498098,contact.kishoreganj104@hospital.gov.bd,9.6
105,Kishoreganj Upazila Health Complex 3,Upazila Health Complex,28,Kishoreganj,24.38362,90.85488,38,9,+8801854786368,contact.kishoreganj105@hospital.gov.bd,9.62
106,Kurigram District Sadar Hospital,District Hospital,29,Kurigram,25.93736,89.62475,123,30,+8801815869613,contact.kurigram106@hospital.gov.bd,2.18
107,Kurigram Upazila Health Complex 1,Upazila Health Complex,29,Kurigram,25.92783,89.50413,42,10,+8801888988799,contact.kurigram107@hospital.gov.bd,14.02
108,Kurigram Upazila Health Complex 2,Upazila Health Complex,29,Kurigram,25.81094,89.77576,49,12,+8801877730345,contact.kurigram108@hospital.gov.bd,20.35
109,Kushtia District Sadar Hospital,District Hospital,30,Kushtia,23.89894,89.02847,151,37,+8801879249253,contact.kushtia109@hospital.gov.bd,0.88
110,Kushtia Upazila Health Complex 1,Upazila Health Complex,30,Kushtia,23.85052,88.87448,44,11,+8801896396490,contact.kushtia110@hospital.gov.bd,16.49
111,Kushtia Upazila Health Complex 2,Upazila Health Complex,30,Kushtia,23.98654,89.0075,37,9,+8801836563019,contact.kushtia111@hospital.gov.bd,10.85
112,Kushtia Upazila Health Complex 3,Upazila Health Complex,30,Kushtia,24.01143,88.82247,36,9,+8801844617837,contact.kushtia112@hospital.gov.bd,25.01
113,Lakshmipur District Sadar Hospital,District Hospital,31,Lakshmipur,22.96509,90.85316,132,33,+8801881837462,contact.lakshmipur113@hospital.gov.bd,1.75
114,Lakshmipur Upazila Health Complex 1,Upazila Health Complex,31,Lakshmipur,22.83796,90.94666,32,8,+8801894102026,contact.lakshmipur114@hospital.gov.bd,15.88
115,Lakshmipur Upazila Health Complex 2,Upazila Health Complex,31,Lakshmipur,22.72176,91.01173,36,9,+8801871508494,contact.lakshmipur115@hospital.gov.bd,30.28
116,Lakshmipur Upazila Health Complex 3,Upazila Health Complex,31,Lakshmipur,23.11085,90.80396,42,10,+8801869579063,contact.lakshmipur116@hospital.gov.bd,18.53
117,Lalmonirhat District Sadar Hospital,District Hospital,32,Lalmonirhat,26.17874,89.18692,157,39,+8801874787236,contact.lalmonirhat117@hospital.gov.bd,2.39
118,Lalmonirhat Upazila Health Complex 1,Upazila Health Complex,32,Lalmonirhat,26.20103,88.96255,32,8,+8801851584308,contact.lalmonirhat118@hospital.gov.bd,20.13
119,Lalmonirhat Upazila Health Complex 2,Upazila Health Complex,32,Lalmonirhat,26.29942,89.0129,44,11,+8801856956529,contact.lalmonirhat119@hospital.gov.bd,19.92
120,Madaripur District Sadar Hospital,District Hospital,33,Madaripur,23.19798,90.15249,142,35,+8801892206939,contact.madaripur120@hospital.gov.bd,1.09
121,Madaripur Upazila Health Complex 1,Upazila Health Complex,33,Madaripur,23.14116,90.06011,41,10,+8801866811878,contact.madaripur121@hospital.gov.bd,12.42
122,Madaripur Upazila Health Complex 2,Upazila Health Complex,33,Madaripur,23.08227,90.00464,31,8,+8801862356029,contact.madaripur122@hospital.gov.bd,20.93
123,Magura District Sadar Hospital,District Hospital,34,Magura,23.42462,89.39283,165,41,+8801819598112,contact.magura123@hospital.gov.bd,0.99
124,Magura Upazila Health Complex 1,Upazila Health Complex,34,Magura,23.52698,89.3404,34,8,+8801883658346,contact.magura124@hospital.gov.bd,13.03
125,Magura Upazila Health Complex 2,Upazila Health Complex,34,Magura,23.33099,89.44896,45,11,+8801868677644,contact.magura125@hospital.gov.bd,11.43
126,Magura Upazila Health Complex 3,Upazila Health Complex,34,Magura,23.33409,89.4731,39,9,+8801835456474,contact.magura126@hospital.gov.bd,12.37
127,Manikganj District Sadar Hospital,District Hospital,35,Manikganj,23.87912,89.98415,112,28,+8801851155658,contact.manikganj127@hospital.gov.bd,0.19
128,Manikganj Upazila Health Complex 1,Upazila Health Complex,35,Manikganj,23.7719,89.97865,48,12,+8801840438777,contact.manikganj128@hospital.gov.bd,12.1
129,Manikganj Upazila Health Complex 2,Upazila Health Complex,35,Manikganj,23.95883,89.85359,38,9,+8801885778884,contact.manikganj129@hospital.gov.bd,15.8
130,Manikganj Upazila Health Complex 3,Upazila Health Complex,35,Manikganj,23.87354,90.11605,39,9,+8801873357584,contact.manikganj130@hospital.gov.bd,13.51
131,Maulvibazar District Sadar Hospital,District Hospital,36,Maulvibazar,24.42379,91.92967,143,35,+8801869441258,contact.maulvibazar131@hospital.gov.bd,1.97
132,Maulvibazar Upazila Health Complex 1,Upazila Health Complex,36,Maulvibazar,24.35415,91.99398,41,10,+8801847672785,contact.maulvibazar132@hospital.gov.bd,11.96
133,Maulvibazar Upazila Health Complex 2,Upazila Health Complex,36,Maulvibazar,24.49266,91.80741,46,11,+8801836389553,contact.maulvibazar133@hospital.gov.bd,13.14
134,Meherpur District Sadar Hospital,District Hospital,37,Meherpur,23.7878,88.68353,133,33,+8801886439424,contact.meherpur134@hospital.gov.bd,0.65
135,Meherpur Upazila Health Complex 1,Upazila Health Complex,37,Meherpur,23.8118,88.68583,38,9,+8801837544449,contact.meherpur135@hospital.gov.bd,2.22
136,Meherpur Upazila Health Complex 2,Upazila Health Complex,37,Meherpur,23.66793,88.49297,35,8,+8801829879901,contact.meherpur136@hospital.gov.bd,23.54
137,Meherpur Upazila Health Complex 3,Upazila Health Complex,37,Meherpur,23.64079,88.55843,42,10,+8801816278218,contact.meherpur137@hospital.gov.bd,20.92
138,Munshiganj District Sadar Hospital,District Hospital,38,Munshiganj,23.51925,90.43053,174,43,+8801882791118,contact.munshiganj138@hospital.gov.bd,2.66
139,Munshiganj Upazila Health Complex 1,Upazila Health Complex,38,Munshiganj,23.7006,90.11304,36,9,+8801868591299,contact.munshiganj139@hospital.gov.bd,39.15
140,Munshiganj Upazila Health Complex 2,Upazila Health Complex,38,Munshiganj,23.40458,90.57623,46,11,+8801856735875,contact.munshiganj140@hospital.gov.bd,19.19
141,Mymensingh District Sadar Hospital,District Hospital,39,Mymensingh,24.7664,90.48454,250,62,+8801875320331,contact.mymensingh141@hospital.gov.bd,2.62
142,Mymensingh Medical College Hospital,Medical College Hospital,39,Mymensingh,24.7195,90.41542,901,225,+8801815426563,contact.mymensingh142@hospital.gov.bd,6.43
143,Mymensingh Upazila Health Complex 1,Upazila Health Complex,39,Mymensingh,24.7419,90.46214,40,10,+8801867901334,contact.mymensingh143@hospital.gov.bd,1.1
144,Mymensingh Upazila Health Complex 2,Upazila Health Complex,39,Mymensingh,24.61099,90.46428,32,8,+8801832896628,contact.mymensingh144@hospital.gov.bd,14.99
145,Mymensingh Upazila Health Complex 3,Upazila Health Complex,39,Mymensingh,24.90048,90.69624,34,8,+8801866411477,contact.mymensingh145@hospital.gov.bd,28.42
146,Naogaon District Sadar Hospital,District Hospital,40,Naogaon,24.85589,88.75569,121,30,+8801896794651,contact.naogaon146@hospital.gov.bd,1.51
147,Naogaon Upazila Health Complex 1,Upazila Health Complex,40,Naogaon,24.7398,88.83956,36,9,+8801824223238,contact.naogaon147@hospital.gov.bd,15.74
148,Naogaon Upazila Health Complex 2,Upazila Health Complex,40,Naogaon,24.895,88.74488,35,8,+8801843539269,contact.naogaon148@hospital.gov.bd,4.0
149,Naogaon Upazila Health Complex 3,Upazila Health Complex,40,Naogaon,24.75124,88.73836,35,8,+8801862658815,contact.naogaon149@hospital.gov.bd,12.97
150,Narail District Sadar Hospital,District Hospital,41,Narail,23.13099,89.54992,160,40,+8801840165686,contact.narail150@hospital.gov.bd,2.06
151,Narail Upazila Health Complex 1,Upazila Health Complex,41,Narail,23.09466,89.32103,38,9,+8801853308781,contact.narail151@hospital.gov.bd,25.77
152,Narail Upazila Health Complex 2,Upazila Health Complex,41,Narail,23.1481,89.5511,45,11,+8801866423484,contact.narail152@hospital.gov.bd,2.8
153,Narail Upazila Health Complex 3,Upazila Health Complex,41,Narail,23.08515,89.45288,32,8,+8801825297166,contact.narail153@hospital.gov.bd,12.98
154,Narayanganj District Sadar Hospital,District Hospital,42,Narayanganj,23.74751,90.58338,250,62,+8801824219234,contact.narayanganj154@hospital.gov.bd,2.04
155,Narayanganj Medical College Hospital,Medical College Hospital,42,Narayanganj,23.77838,90.5756,512,128,+8801850787002,contact.narayanganj155@hospital.gov.bd,1.49
156,Narayanganj Upazila Health Complex 1,Upazila Health Complex,42,Narayanganj,23.83185,90.3801,34,8,+8801880232429,contact.narayanganj156@hospital.gov.bd,21.62
157,Narayanganj Upazila Health Complex 2,Upazila Health Complex,42,Narayanganj,23.79473,90.61386,38,9,+8801846704176,contact.narayanganj157@hospital.gov.bd,4.74
158,Narsingdi District Sadar Hospital,District Hospital,43,Narsingdi,23.98215,90.73783,112,28,+8801812696977,contact.narsingdi158@hospital.gov.bd,1.25
159,Narsingdi Upazila Health Complex 1,Upazila Health Complex,43,Narsingdi,23.79087,90.79592,48,12,+8801894292448,contact.narsingdi159@hospital.gov.bd,21.25
160,Narsingdi Upazila Health Complex 2,Upazila Health Complex,43,Narsingdi,24.09375,90.75944,35,8,+8801822202921,contact.narsingdi160@hospital.gov.bd,13.77
161,Narsingdi Upazila Health Complex 3,Upazila Health Complex,43,Narsingdi,24.0857,90.7137,47,11,+8801886847851,contact.narsingdi161@hospital.gov.bd,12.7
162,Natore District Sadar Hospital,District Hospital,44,Natore,24.41988,89.10811,151,37,+8801864448420,contact.natore162@hospital.gov.bd,2.2
163,Natore Upazila Health Complex 1,Upazila Health Complex,44,Natore,24.46192,89.29878,48,12,+8801860790597,contact.natore163@hospital.gov.bd,21.54
164,Natore Upazila Health Complex 2,Upazila Health Complex,44,Natore,24.417,89.06004,49,12,+8801839455966,contact.natore164@hospital.gov.bd,3.24
165,Natore Upazila Health Complex 3,Upazila Health Complex,44,Natore,24.34607,89.14006,38,9,+8801874752999,contact.natore165@hospital.gov.bd,10.61
166,Nawabganj District Sadar Hospital,District Hospital,45,Nawabganj,24.78128,88.34035,163,40,+8801859265844,contact.nawabganj166@hospital.gov.bd,1.29
167,Nawabganj Upazila Health Complex 1,Upazila Health Complex,45,Nawabganj,24.86297,88.4697,45,11,+8801859935195,contact.nawabganj167@hospital.gov.bd,15.13
168,Nawabganj Upazila Health Complex 2,Upazila Health Complex,45,Nawabganj,24.75574,88.38465,32,8,+8801874712415,contact.nawabganj168@hospital.gov.bd,6.02
169,Nawabganj Upazila Health Complex 3,Upazila Health Complex,45,Nawabganj,24.59613,88.41087,37,9,+8801841102949,contact.nawabganj169@hospital.gov.bd,22.98
170,Netrakona District Sadar Hospital,District Hospital,46,Netrakona,24.88789,90.82947,106,26,+8801822814226,contact.netrakona170@hospital.gov.bd,1.65
171,Netrakona Upazila Health Complex 1,Upazila Health Complex,46,Netrakona,24.85671,90.95011,48,12,+8801828779814,contact.netrakona171@hospital.gov.bd,11.75
172,Netrakona Upazila Health Complex 2,Upazila Health Complex,46,Netrakona,24.82478,90.84064,35,8,+8801833383115,contact.netrakona172@hospital.gov.bd,8.02
173,Netrakona Upazila Health Complex 3,Upazila Health Complex,46,Netrakona,24.56564,90.82749,32,8,+8801882414092,contact.netrakona173@hospital.gov.bd,36.86
174,Nilphamari District Sadar Hospital,District Hospital,47,Nilphamari,26.01518,88.93559,102,25,+8801876788222,contact.nilphamari174@hospital.gov.bd,1.95
